generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,0,0,-1,-1,010001111001110000010010110110100101101000010111000011010000111111000111100010101100111000111000001001110011111111010110110001000001101001010010010011000110101110110010110011100101001100010000011100110101100000100111000100100100010010
0,1,15.90094,27.64438,-1,-1,001011000101100111101111101001010000111111001101100000000100100001010111001101001010001110110011100000001010111011000101111001100110101001010111010100101101101111001101011001111101101111101100100000101111100001100011000010100011100001
0,2,2.114256,25.20768,-1,-1,000011101111101001110011000110101100011101001100101100101101101010101010111100011110000100111101110010011001110111011011010110101101100001001110100010111010000111101010000011011001010000110101110010010000111100100001110000000111101001
0,3,1.711113,15.78448,-1,-1,011011100111010010110001011101101111000100010001011001101100000011000001101111110100101110101000010000101011100111000110001111110111100100000011010111011011000001000100000010111000100101111011100111111100110011100001011110111001110100
0,4,8.477224,15.89432,-1,-1,100011111000011011111010000110001011110001011010100001101001111111110110000101010101110000000011101110001111000011100011011000001001101010001101101101011000000010010010010010010000000010100101010010001001001001000011110000000001110101
0,5,14.36395,31.17829,-1,-1,001010100000010110010010100010101111010100110100010110100010000001000010100111001010111000001100011000000001101100110000111101111010010100101010001010010100111000000101000011100111110101100001011011001011010010010000110100101100011110
0,6,14.38135,37.60945,-1,-1,010000100111110011010100100011110111101110111011100111011001100101100111000011010110101100000100111101100100011110101111011001101101001010011010000100010011001001111101000000011011010001111101011100111001011001111110000011111010110011
0,7,3.236962,18.70029,-1,-1,110101011110111110110000111011011111011111000111100111100100101100001111110010000001111010101100011010011001001100010111110101100100010100010111111010010111110100110101001111011000000001110101101011101111010100011100011101001001011011
0,8,0,3.239489,-1,-1,100010010011100000101010010100101011100000101111010000000100100010001101000010011010001101010110111100110110001100110101011110011111100011110010011110111010010100000001010100101111101110010000000101101111011101001011000001010101010001
0,9,0.1080886,0.423808,-1,-1,101011011001101100010111111001001100001110000111011101101111000110001100111110110001001010011100111101110001011111110001001100111001101001000001110110100100111000001011101100101110101001111011101100011111111011111011000010100111010011
0,10,0,0.1080773,-1,-1,010110010000111000111010101101001011010110110101101110000010011000111101111000010011000110111110011110011000101000111101001011001110100001010011010011000110111001001010010110100110000000101111000111001101001011100010100111000101001111
0,11,5.206024,52.1443,-1,-1,000111100011010111001000000110000001010100100101001111011000010000001100001110011001100111010011010000110011111111000000111111000001000010101000101001110010100101100101111111101001000001000110111110110000100110000011011100101001011000
1,0,2.477979,142.8631,5,6,001010100000010100000010100011101111010100111101010110100010000001000010100111001110111000001100011000000001101100110000111101111010010100011010000100010011001001111101000000011010010001111101001100111000011001111110000011111110110011
1,1,8.799139,74.32812,5,6,001010100000010110010010100010100111010000110100010110100010000101000010100111001010111000001100001000000001101100010010111101111010010100101010001010110100111000000101000011110111110101100001011011011011010010010000010100101100110011
1,2,15.43447,48.59758,5,6,001010100000010101010100100011110111101110111111100101011001100100100111000011010110101000000101111111000100011100100111011001101111001110011010000100110011100001111101000000011011011001111111011100111001011001111110000011111010110011
1,3,36.31418,79.71298,5,6,001010100000010110010010101010101111010100110100010110101010000001000010110111001010111000001110011000000001101100010000111101110010010100111010001010011100111000000101000011100111110100101001011011001011011001111110000010111010110011
1,4,17.62109,102.306,5,7,001010100000010110010010100011011111011111001111100111100100101101001111110010000001111011101100010010111001001000010111110101100100010100011111111000011111110000110101001111011000000011110101111011101111010100011010011101001001011011
1,5,22.39932,62.01246,5,11,001010100000010110010010100010101111010100110100010110100010010001100010100111001000011000001100011000000001100100110000111101111001000010101000001001110010100101100101111111101011000001000110111110110100100110000011011100111011011000
1,6,12.93645,50.61154,6,1,010011000101100111101011101000010001111011001101100000000100100001010111001101001010001110110011100000001010111011010101111001100110101000010111010100101101101111001101011001111101101111101100100000111111100001100011000010100011100001
1,7,6.018926,19.34194,7,1,010101011110011100110000111011011111010111001101100000000100100001010111001101001010001110100011100100001010111011000101111001100110101001010111010100101101101111001001011001111101111011101100100010101111100001100011000010100111100001
1,8,3.326769,16.23724,7,1,110101011110111110110000011011011111111111000101100111000100001100001111010010000000111010101100011010011010111011000101111001100110101001010111010100101101001111001101011001111101101011101100100000101111100001100111000010100011101001
1,9,23.13073,28.98845,1,3,001011000101110111101111001001010000111011000101100000000100100011100110001100001010001110110000100001001010110011000101111001100110101001010111010100101101101111001101011001111101101110101100100101101111100001100011000010101001110100
1,10,12.25924,44.27614,1,3,001011000101100111101111101001010000111111001001110001000100100001010111001101001010001010110011100000001010111011000101111001100110101001010111010100101101101111000101011000111101001111101100100000101111100111100001011110111001110100
1,11,11.1578,37.29423,1,5,001011000101101111101111101001010100111101001000010110100010000001000010100111001010111000001000011000000001101100110000111101111010010100101010001010010100111000000101000111101111110101100001011101001111011000010000100100101100111110
2,0,41.72454,112.349,3,10,001010100000010110010010101010101111010100101100110010101010110001010111001101001110001000010011100000001010111011000101111001100110101001010011010100101101101111000101011000111101101111101101100000101011100111100001011110111001110100
2,1,10.55072,117.544,3,11,001010000000010010010010101010101111010100110100011110101010001001010010110111001010111010001110011000000001101100010000111101110100010100111010001110011100110000000101100011100111110100111001011011001011011000010000100100101100111110
2,2,26.74242,50.86351,3,2,001010100000010111010010101010101110010100110100010111011001100110100111000011010110101000000101111111000100011100100111011001111110001110011010000100110111100001111101000000011011111001110111010100111101011000111110000011111010110011
2,3,31.60698,105.731,3,2,111010100000010111010010100010101111010101110100010110100010000001000010111111001010111000001110011000001000101000010000111101110010010100111011000010011100111000000101000011000111110100101001011011000011011001111110001011111110110011
2,4,0.1,193.9778,3,4,001110100100010110010010101010101111010100110100010110101010000001000010110111001010111000001110011001000001101101000000111101110010010100111010001010011100111000000101000011100111110100101001010011001011010001111110000011111010111011
2,5,13.04676,178.1587,3,5,001010100000010110110010101010001111010100110110010110101010000001000110110111001000011000001100011000000001100101110000110101111001000010001000001001110010100101100101111111100011000001010110111110110100100110000011110100111011011000
2,6,47.39195,71.62291,3,5,001010100000010110010010101010101111010100110100011110101010000001000010110111001000011000001101001000000001100100110000111101111001000110111000101001110010100101100101111111111011000001000111011110110100100110000011011100111011011000
2,7,7.694795,76.16547,3,6,011010000101100111101011001000010001111011001101100000000100100011010111001101001010010110110011100000000010101011000101111001110110101000010101010100101101101111011101011000111101111111001100000000111111100001100001000010100011100001
2,8,8.666571,35.72622,3,8,001010100000010110010110101010101011010100110100010010101010000001000010110111001010111010101100011010011010111011100101111001100110101000010111010100101101100111001101011001011101101011111100110000101111100001000111000110100011101001
2,9,13.66059,54.77768,3,10,001010100000010110010010001010101111010100110100010111101010011001000010111111001010111000001110010010001010111011000101111000100110101001011111000100101101101111000101011100111101101111100100100000101111100111100101011110101001110100
2,10,24.0499,85.40056,3,2,001010100000010110010010101010101111010100110100010110100010000001000010110111001010111000000110011000100001101100010000111101110010010100111010000100110010100001111111000000001011011011111111011100111000011001111110000011111010110011
2,11,47.71427,89.96745,3,4,001010100000010110010010101010001111110110111100010111101010001001000010110111001010111000000110011000000000101101011000011101010010011001111010001010111100111000000001001111011000000011110101011011101010010100011010011101001001011011
