generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,13.43727,28.81078,-1,-1,011111001000100010000010011011101011011010111000010010101010011011000100010000110111011110000000111000100001001000010111100001000110100111100111001111010111111110110000000110111001111110111101110010111100011101000101100110010010111001
0,1,1.399995,17.76344,-1,-1,001111011100100100101110000110111100100110001010000000010111100000010100111011001111101001010010001110100000011110000100010000001010001100100001100110000101001100011111111011111001001010101001100011010101110101111110011111101110111001
0,2,3.94839,7.575165,-1,-1,111111111111011011111101000100101101011100000001101000010001111110011010101101100101011110100101001011000101000110111001000111110011111011011100001011000100010111011000100000010111110111110100101000010011000100111000011000001000011101
0,3,5.815185,18.84306,-1,-1,111011101100100101101110101110100001101001110111110010111100011010010110111110110101010100011000000001000100101110110100001101111100111001010100100010001001101100111000101110011100011110001000110000100100011011001110000101111100101011
0,4,0.07337498,6.045296,-1,-1,000010010010100001000111110101110010100000010000001111110111101100110101011100101010010111000010000110100110000101010001000110011010101110100000000110110111100111000101111101001001001101111101111110001000000101001011001000111010101011
0,5,33.60235,35.44319,-1,-1,101111001011100100100000010100111001100011110000000000100100011111011111101010001011111001010111110110010000011110011100011100011101110100011100010101011100110101001000111110010100100100100100000010000000100101011100110100010011011110
1,0,27.19695,95.90231,5,0,101111001011000100100001000100111001100011110000000000100100011111011111101010001011111001010111110110010000010010001100011100011101110100011100010101011100110101001010111110010001111110111101110010111100010101000101100110010010111001
1,1,16.69014,47.46363,5,0,101110001011100100101000110100011001000011110000000000100100011111011111101010001001111001010111111110010000011110011100011101001100100111100111001011010111111110110010100110101001111110111101110010111100011101000111110110010010111101
1,2,25.72978,43.94056,5,3,101101001011100100100000010100111001100011110010000000100100011111011111101010001011111001010111110110010000011110011110111100011001110100011100010101011100110101001000111110011100011110001000110000000101011011001110000101110100101011
1,3,16.52681,68.85401,5,0,101011001011100100110000011110111011011010111000010010101010011011000100010000110111011110100000111000100001011000110111000001000110100111000111001111010111111110100000000110111001010110110111110010111100011101000101100110010010111001
1,4,12.13494,33.25539,5,0,101111001011100100100010010101111001100011110010000000100100011111000100010000110111011110000000111100100001001000010111100001000110100111100111001110010111111110110000000110111001111110111101110010111100011101000101100110010010111001
1,5,0.2083116,14.14033,5,3,100111001111100100100000010001111001100011111000010000100000011111011111101010001011101001010111110110010000111110011100011100011101110100011100000010001001101100111010101110011100011110001000110000100100011011001110000101011100101101
2,0,12.50784,33.10744,0,2,101111001001000100100001010100111001100011111000000100100100011111011111101010001010111001010111110110010000010010001100011100011101110100011100010101011100110101001010111110010100011110001000110000000101011011001110010101110100101011
2,1,0,12.32358,0,2,111111001011010000100001000100111001100011110000000000100100011011011011111010010011111001010111110110010000010010001100011100011101110101011100010101011100110101001000111110011100011110000000000000000101011011000100000101110000101011
2,2,10.51764,14.78212,0,2,101111000011000100100001000100111001100011110000000000100100011111011011101010101011111101010111110110010000010011001000011101011101110110001100010101011100110001010100111010011100011110001001110000000101011001001010000101110100101011
2,3,23.26523,38.91008,0,3,101111001011000100100001000100011001100011110000000010101110011011000100010000110111011110100000111000100001011000100111000001100110100111010111001111010011111110100000000110111001000110110111110010111100011101010101100110010010111001
2,4,24.88644,49.27234,0,4,101111001011000100100001000100101001100011110000001000100100011111011111101010001010111001010111110110010000000111001101011100011110100111100111001110010011111110110000000110111001101110111011110010111100011011000101100110110011011001
2,5,20.56254,45.34899,0,0,101111101011000100100101010100010001100011110000000000101100011111010111101010001011111001010111111110010000010010001100011100011101110100011100110101001100110101001010111110010001111110111101110010101100010101000111100110010010111001
3,0,12.584,94.27615,2,3,101111000011000100100101000100111011100011110000000000100100011111011011101000110110011110100000111000100001011000000111000001100100100111010111001111010011111110100000000110111001000111110111010010111100011101010101100110010000111001
3,1,0,12.45231,2,3,101111000011001000100001000100111001100011110000000000101110011011000100010000110111001110100000111000110001011000100101010001100111100111010111001101010011111110100000000110111001000110110111110010111100001101010101100111010010111001
3,2,1.510765,14.45739,3,4,100111001011000100100001000100101001100111110000000000100101011111011111101000001010110000010111110100000000000111001101011100010110100111110111001110000011110110110000000110111001101110111011100010111101011011000101100110010011011001
3,3,15.8887,22.10266,3,4,101111001011000100100001000101001001100011110000001000100100011111011111101011011010111001010111110110010000000111001101010100011110100111100111001100010011111110110000000110111001101110110011110010110110011011000001100110110011011001
3,4,13.83742,34.66808,3,4,101011001011000100100001000110011001100011110000001000100110011111011111111011001010111000000111110100010000000111001101001100111010100111100111001110010011111110110000100110111001101110111011110010111100111011000101100110110011001001
3,5,17.03548,31.21131,3,4,101111001011000100100101000100011001100011110000000011101110011011000100010100111111011110100000110110010000000111001100011100011000100111100111001110010010101110110000000110111001101110110011111010111100010011000101100110111011011001
4,0,10.75724,64.48378,0,3,101111000011000111100101000100111011100011110000001000101100011111011011101000110110011001010111110110010000000111001101010000111110101111100111001100010011111110110000000110111001101110111011110010110110010011000001000110110011010001
4,1,17.42912,37.69619,0,3,101111000011000100100101000100111111100111110000000000100100011111011011100010010110011110100000111000100101011000000111000001100100100111010111001110010011111110100000000110111001010111110011110010110110011011000011100110110011011001
4,2,1.178862,27.90485,3,4,111111001011000100100001000101001001100111111000001001100110011111011111111011001110110000000111110100010000000111001101001100011010100111100111001110110011111110110000100110111001101111111011110010111100111011001111100110110011001011
