generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,0,0,-1,-1,111110111101101000111001000001110001100010011101011101110110011010001001110001110010100110110000000100011010010110011100111011001000101101011110111101000010100111101000001010010000001011001001110001010010111000100110100001111100101001
0,1,4.424523,4.443588,-1,-1,011000011111011101001000011010101010101101101101100111001011100101111111100111001111101101010001001111000001110100000111010000011000011001100101111011011001101000001111100111000010100010101111110010100100000110110011010110110101011110
0,2,0,4.412868,-1,-1,101100101111011000100001011010000101100100010110000101000111010010100001001001100111111111111011000110010100001101000011101011110111110001011011111011000010110101011011110000001111000001100010110000110010011011111001110001010010110111
0,3,4.464138,9.082,-1,-1,000110010101000100110000110000100000010100011010001110000110000000010000001100100001010011101110111111100011000001010100011000001000101111010111100010100000101100010110001000000011000100110111110001000101110011100010011011011010001110
0,4,3.570334,23.12473,-1,-1,111110000100111111101100010010110001110111101011011100001100101000010111101000010100101110011001011011110011000111001000011000100001100000000000101101010110110001100010111111101101010010001100000110101001111110001000011101010001001010
0,5,0,3.449404,-1,-1,101001111011011000011101100110110100000011010101000110111010000011100011000100011111101011111011100011011011110110101011100010011101100011110111000001110001101010111011111101111100010010100110001110100001001001111101001001010011100101
0,6,9.626529,9.567109,-1,-1,010100101110111011111101001100110010011011011011011100111110001011101111111111101000010110110001001110111110111110100010101010010100011100001111010001110110100011000000000110000111101111100001100000001011001111011111101100001011010010
0,7,3.013951,27.70342,-1,-1,100111001110011111111001000100100100110111110000001011000000010100111100101000001100110110110100011110000000100110011011110110011100011100010110011000101101111100111011011111010101001010001011101110110010001110111001100101000001111111
0,8,0.6904183,7.609221,-1,-1,011010011110101010001000110001010110111110101101010000100000010001011011011100010101010011100000101001111110111100100110000000001000101001110111100001101001000011101100011101100010000001101000111000100111011100011101011101100101100011
0,9,0.1248623,2.683755,-1,-1,000001100010110001010111111011111100001010010001111000100001111001010101011100110011010011110100100100000110101100001011011101000001111010000010011100001000000100101011100001111110111100101111110111000110101001001111110111111100001010
0,10,4.546399,29.70329,-1,-1,011101000101011010110011101110010011011101000000100110011011100100011000101101001110111010000011011110000001110000101110111010000110000100010001010011010110011110110000101111110011110110000100010100111100000011110001000101011001101001
0,11,4.814787,11.3602,-1,-1,010011110111101110000110110100000010100011100011111100011001111110001111011111110100100000001001010101011101110110101111010100110101100111001010110100111111110010000010010110011111010011100110001001010101101001011110010111001110111101
1,0,7.357913,31.13144,3,1,000110000100000100100001110000101000010100011110001110000110010000010000001100100001010011101110101111100011000001010110011001111000011001100101111001011001100000001111100111000010100010101111110010100100100110110011110110110101011111
1,1,0,7.385557,3,4,010110010001001000110000110000100000011110011010001110000110000000010100101101100001010011101110111110100011000001010100011000001000101111010011100011100000101100010110001100000001010010001100000110101001111110001000011101110001001010
1,2,0.8993353,9.265763,3,6,000110010101000100100000110010100000010100011001001110011110000011101111111111111100010110110011001111111110111110100010101010010100011100001111010001110110100011000000000010000111100101100011100000001011000111011111101100001011010010
1,3,0.1832811,1.43684,3,6,100110011001000100101100110000110000000110011010001100111110011011101111111111101000010110110001001110110110111110110010101000010100011100001111010001110110100011000000000110000111101011100001110000001011001111011111101100001010010010
1,4,3.257261,5.047352,3,6,000110010001000100110001110000101000010000011011011100101110000111101111011111101000010110110001001010111110111110100010101010010101011100001111110001110110100011000000010000001111101111100011101000001011001111011111101000001011011110
1,5,0.1,471.6895,4,6,111100000010111111101100010010110001010110101011011100011100101000010111101000010110101110011001011011110011000111001000011000100001100000000000100101010110110001100010111111101101010100001100000110101001111010001000011101010001000011
1,6,0.1173465,208.5485,4,6,111110000100111111101100010010110010011001011011011100111110001011101011111110101000000110110001001110111110111110100010101010010100011000001111010001010110100011000000000110000111101111100001100000001011101111011111101110001011011010
1,7,3.802416,15.27712,4,6,111111000100111111101100010010110001110111101011011100001100101000110101111000010100101110011001011011110011000111001000011000100000100000001000100101010110110001100000110111101101010010001100000110101001111111001000011111010001011010
1,8,11.57759,29.44934,4,6,111110000010111111101100010010110001110111101011011100001100101000010111101010010100101110001001011011110011111110100010101010010100011100001111010001110110100011010000000110000110101111100001100000001011001111011111101110001011000010
1,9,12.31542,23.81683,6,10,010100101110111011111101001100110010011011011111111100111110001011101111111111101000010110110000011110111010111110100010101010010100111100101111010110010110010110110001101111110011110110001100010100111000000010110011000101011101101001
