generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,0,0,-1,-1,001000001001111000011010111101000011011100110001010000110110101000100111011000110011100101001101110010100110111100000001000110010111111100000000000111001010001010100000011010011001010010110001110111011101011001100100001101110000011110
0,1,1.682604,19.16166,-1,-1,011010001101110101010111100110011100100101001011101000111100010110010000001010000110000000000110011000110101011010111010111111010110110011100011000010000110111010110111000101000001110001000100011110000011011001011101010111111110101000
0,2,6.699669,31.00781,-1,-1,111110101001011110100010011010010001110110101101000110100000101111111110101110101000011110100111011100100110101100101111101101110100100100011100011010100010111011111110000110010000001101110100010000010110011011100001010011001000111101
0,3,26.68933,39.94992,-1,-1,101110101111010111011111000100110111101010011011101110001010100101101001000111101000001101100011111110110000110111011001010111101011100011001100100011010001011110001000111011001010011010101100100100111111111001100000011101110011110010
0,4,0.2160214,27.47446,-1,-1,100010101001101001101101011010001000011100101101111001000111010011100100011010100001000010000001111100000111010110001111010011001101100001001010001000001001111001100110110101011111010111010001100011000001010101001001110110100110011001
0,5,0,0.2181715,-1,-1,001011100011110000110101010000100011110101000011100000110100010001111110111101100101111001001110101010010100110011110011011111101010111101100001100010111100010110110000111111111001001101000110100111000110010111011001111100001100100000
1,0,26.59743,32.22372,3,2,101110101111010111011111000100110011101010011011101110001010100101101001000111111000001101100001111110110000110111011001010111101011100011001100100011010001011110001010111010000000101101110100010000010100011011100001000011001000111101
1,1,12.20175,48.31183,3,1,101110101111010111010011000101110111101010011011101110011010110110010000001010000110000000000110011000110101011010111010111111010110110011100011000010000110111010110111000101000000110001000100011110010011110001011101010101111110101110
1,2,13.95128,27.33743,3,2,101110111111010111010111010100110111101010011011101110101010101101101001000111101000101101100011111110100000110111011001010111100011100011001100011010100110111001111110000110010000001101010100011011000110011011100001010011001000001101
1,3,16.4891,31.07972,3,2,101110101111010111011111000100110111111010011011001110000010100101101001100111101000001101100111111110110000010110011001010111101011100011001100100011010001011010001000000110011000001101010100010000010110011011100001010011001000111101
1,4,10.06166,27.93339,3,2,101110101111010111011011000100110101101010011011001111001010100101111001000111101000001101100011111110110000110111011001010011101011100100111100010010100010111011111010000110010000001101110100010000010110011011100001010011001000111101
1,5,17.18184,27.47591,3,1,101110101111010111011111000100110111101010001011101000111100010110010000001010000110000000100110010000110101001010111010011111010110110011100010000010000110111010110111000101010001110001000100011110000011011001011101010111101110101000
2,0,11.29755,56.69932,0,1,101110101111010111011111000100110011101010011001101110001010100101111001000111111000001101100001111100110000110011011001010111100001000011001100100111010101011110101010111010000000111101100101001110010011110001011101010101111110101100
2,1,7.523821,20.01597,0,2,101110101111010101011111000100100011101010111011101110001010100101001001001111111000001101000001111110110000110111011001010111101011101011001100100011110001011110001010111010000000101111110110011011100110011011100011110011001000001101
2,2,19.28404,27.29053,0,3,101110101111010111011111000100110011101110010011101110001010100101101001000111111100001101100101111110100000010110011001010111101011100011001100110011010000011110001000000110010000001101010100010001010110011011101001010011001000111101
2,3,14.43888,34.41993,0,3,101110101111010111011111000100110111101010011001101111001010100101101001100111111000001101100001111110010000110111011001010111101111110011001000100011010001011110001010111010000010101101110100010000000110011101100001011011001000100101
2,4,19.53085,33.88063,0,4,101110101111010111011111000100110011101010011011001110000010100101101000010111111000001001100101111110110000010111011001010011101011100011001000100011010000011110001010000110010000001101110100010000010010011011100001010011001000111100
2,5,13.10656,32.88937,0,5,101110101111010111011111000100110111101010001010101000111100010110010000001011000110000000110110010000110101001010111010011111110110110011100000000010000110111010110011000101010000010001000100011110000011011001011101010111101110101000
3,0,7.018886,61.55864,1,0,111111101111010101011110001100100011101011111011101110001000100111011001001111111000001101000011111110110000110111011000010111101011101011001100100011110001011111001010111010100000101111110110011011100110011011100011110011001000101100
3,1,8.080236,15.37947,2,0,101110111111011111011111000100110011111010011001101010001000100100111001000111111000001101100011111100010100110011011001010111100001000010001100111111010101011110101010111010000000111001100101001100010011110001011101010001111110101100
3,2,0.3765301,16.66254,2,1,100110101111010111111011000100110011101110011011101110001010100101101001000011111100001101000001111110110000010111011001000111101011101001001100100011110101011110001010110010000010101111110100011001100110011011100011110011101000001101
3,3,28.23213,31.38035,2,1,101110101111010101011101000100100011101011111011101110001010101101010001001111111000100111000001111110110000110101011001010111100011000011001100100011110001011110001010111010000000101111111100011011101110011011100011110011001000001101
3,4,9.64475,38.03688,2,1,101110101111010111001111000100110011101110010011001110001011100001101000000111111100001110100101111111100000010111011001010110101011101011001101100011110001010100001010111010000000101011110111011011100110011011100011110101001000001111
3,5,10.01042,20.00091,2,1,101110101111010101011111000100110011101110010011101100001010100101001001000111111100001111100101111110100000010110011001010111101011100011001000010011010000011110001000000111010000001101010100010011110110011011100011110011001000001101
4,0,1.190981,31.32267,0,1,011110111111011111001111000100110011111010011001100010001000100100111001100111111001001101100011111100010100010011011001010111100001000010001100111111010101011110101010011010001000111001100101001000010011110001011101010001111110101100
4,1,18.78922,20.21551,3,5,101110101111010101011101000100100011101011111011101110011010101101010001001111111000100111000101101110101000010110011001010111101011100011011000010011010000011110001000000110010000001101010110010011110110011111100011100011001001001101
4,2,11.95973,35.05358,3,1,101110101111010101011101100100100011101011111011101110001010101101111001000111111000001101100011111100011100110011011001010111100000010010001101111111010101011110101010111010010000111001100101000100010011110001011101010001111110101100
4,3,0.7877852,25.43544,3,4,111110101111010101101101000000110011101110011001001110001011100001101000000111111000001110100101111011100000010111011000010110101011101011101101100011110001010100001010111011000000101011110111010011100110011011100011110101001000101110
4,4,20.10707,23.5818,3,5,101110101111011101011001010100110011101011111011101110001010101101010001001111111000100111000000111110100000010110011001010111101001100011001000010011010000011110101000001111011000001101010101010011110110110011100011110011001000101101
4,5,8.809605,28.88737,3,5,101110101111010101001011000100100111101011111011101110101000101101010001001111111100001111110101111110100000010111011001010111101011100011001000010011010000011110001000000111000010001101010100010011110110011011100011110011001000011101
5,0,2.944564,53.04185,1,2,100110101101010101001101000100100011101011111011101110011010101101010001001111111000100111000101101100101000010110011001010111101011100011011000010011010000011110001000000110010000001101010111000100010111110001011101010001111110101100
5,1,14.07,23.42755,1,4,101110101111010101010101000100100011101011111010101110011000101101010001001111111000100111000100101110101000010110011001010111101011100011001000010011010000011110101000001111011000001101010101010011100110110011100111110011001000101101
5,2,11.52911,26.63489,1,4,101111101111010100011101000100101011111011011011101110011010101101000001001111110000100111000101101110101000010110011101010111101111110011011000010011010000011110001000000110010000001101010110010011110110011111110011110010001001111101
5,3,0,11.51681,1,4,101110100111110000011101000100101000101011111011101110011010101101010001001111111000100111000101100110101000010110011001010111100011100011011001010011010000011110000000001111011000101100010101010011110110110011000011110011001100101101
5,4,10.73026,11.47455,1,4,101111101111010110001101000100100011101011111011101110001010001100010000001111111000100111000000111110100000000110011000010111101001100011001000010011010000011110101000001111011000101101011101010011110010110010100011110011001000101101
5,5,20.7794,34.75634,1,4,101110101111010101011101000100100011101011111010101110011010100101010001001111111000010111000000111110100000011110011001010111101001100011101000010011010000011100111000001111011000000101100101010011010110110011100011110011001000101111
