generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,1.819505,12.01865,-1,-1,001010010001001100010100100110010101011100100110101111110111110000110001111001010001000000000010011010111011111011001011101111110001111101011011001110011101111100111011010101001100110111101011010101100010100100011001001001111011100110
0,1,3.981206,10.15094,-1,-1,110110011001100110100100001011011111011001000010101110110000001010101010001111010101100110001101000101000110010111010100111100011001111100111001000100011010001010001000101001111110111011101000010111100101000100110011011000110000010011
0,2,4.951602,9.84666,-1,-1,101100011011011101111101001110001010101110110100110001010101111110010111000011100000100011100110011001110110011010111101010010110100100111011000100100010000010101101010001010110100101001010101111011110101011011100010010110001101110111
0,3,3.085916,14.23763,-1,-1,011000111010010010111011001010101101101011000110110110000101001011000111011101111100100111000001001010000000011011010100001000010110100110100111100101110111000111100101001110110001010111100101111110111111110100100011001001011001000010
0,4,0,3.162333,-1,-1,011101010010101000101111111100011100001111100100001110100011000111011101111011110111000001001011101111000010011011000110100010010110101011001010111110101101000001010111111011000001011010100000011111111110110011001011000001001110110111
0,5,0.04653896,0.1399075,-1,-1,101010111100011001100101001100011001110000000101110100001110001111010110011001100101100110100010000010101100110110100010101000001111111001101101001001010111111011001101011101110111000011011111001011010110000100011111101101100011111000
0,6,1.181766,6.090363,-1,-1,111011011000110101100101010100000010100110110100000100101100011110110001001111010111001100101000100001001011101011110101110000011011100110000100000011000000011001010001011110111111101001011000001110111010110000001111001000101100111011
0,7,2.302107,14.48761,-1,-1,001000101111001101100010100101010111000100011001011011100001100011111110001110101000011000110100110010000111111000111100101000011000010001000111001100000111111100101101010101011110011100000100011100010001110101100001110011000101100100
0,8,0.06763087,2.59109,-1,-1,111110110111101001101111000001100111000110000111010101101100001110110111000011100101101111110111010011101111001000001011000110111100000100100111010000100011011010100111111010101011000001010001000100010110000110000110000011111111011000
0,9,18.05026,40.54029,-1,-1,110000100010110100001011111100100111000000110100101010001010000001001111110001011111101101100010110100101100100111010011011111011101011011001011110011000000011000101000011011000100100101101111000111000001100101110000001001110010010111
0,10,3.528135,34.82302,-1,-1,001111110001000110010111100011110110001100011010001000100100001110100000011001110000011110111001000101100000111000001010001111100001110010001100010100110001001001010011000011101100101101101001100100110010010111110001001110101100001001
0,11,15.98762,19.74312,-1,-1,010101010111011111100000111000000001000010111010011100011011000001010000010101001000100110111001111010010001000010001111111100011001001000111000001101000011010111110110000101101010001111111100000010011000000010000001011000011011110100
1,0,0.02275704,35.73842,2,6,101100011011011100111100001110001010101110110100110001010111111110010111000111100000100011100110011001110110011010111101011010110100100110011000100110010000010101101010011010110100101001010101111011110001011011100010011000101100111011
1,1,1.757771,6.587481,7,9,001000111111001101100010100101010111001100011001011001001010000001001011010001010111101101100010110100101100101111010011011111011101011011001001110111000000001000101000011011000100100101111111000111000001100101110000001001111010010111
1,2,3.476537,11.2182,7,9,001000101111101101100110110101010011000100011101011011100001100011111100001110101000011000110100111010000111111000111111011111011101011011001111110011000000000000101000011111000100100101101111000111000001100101110000001001110011010111
1,3,26.86961,32.96445,9,11,110010100010110100101011111100100111000000111101101010001010000001001111110001011111101101100010111100101100100111010111011111011101011011001011110011000000011000100000001011010100100111101100000010011000001010000001011000011011110100
1,4,2.384651,42.77224,9,11,110000101010110101001011111000000111000000110110001011001011000001011000010101001000101110111001111010010101000010001111111100011001001000101000001101000011010111110110000101101000001111111100000010011000000110000001011000011011110100
1,5,17.00461,20.26276,9,11,010101010101011111100000101000001001000010101010011100011011000001010000010101001000110110111001101010010001000010001111111100011011001100101010001101010011010111110110000101101010001111111100000010011000000010000001011000111011110100
1,6,3.708834,29.42625,9,11,110000101010110100001011011100100101000000110100101011001010000001000111110001011111101101100010110100001100100111010011011111011100011010001011110010001000011000101000011011001011101111111100000110011000000010000101011000010011110100
1,7,14.10017,66.20432,9,11,110000100010110100001011111100100111000000110111101010101010000001001111010001011111100110011001111010010001000010001111111100011001001100111100001101000011010111110110000101101010001111111100000010011000000010000001011000011111010100
1,8,5.89783,29.88777,9,11,110000110010110100001111111000100111000000110100101010001010000001001111110001111011101101100010110100101100100111010011011111011101011011001011110011000011010111110100010100101010001111111100000110011000000010100001011000011111110100
