generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,0.7109056,10.92629,-1,-1,111101110011010100111100111101011010101110001010111100101010010001000110011110111000010101000001001011001100100010111000110001101001101100000111001011111111111111010011101100011010100010001100010010110100000000101011011001000000101100
0,1,13.98358,14.63101,-1,-1,101101001101111100100100010101011101100111011010111111010111110111011110101001101110101010001101011010000010011101001011000000101110010110110001101100110000010001111101011010001101100000000001100011001011101010100001110011101101000100
0,2,0.5942691,15.90471,-1,-1,001111001000011110111100011011011101010011000010010000011111001110101111101101000101000111100011010001001011001101100001001100101001110001010100011100001001010011000000010101010101111000011001110100001111000010111101101100110111000011
0,3,0.9235641,7.716965,-1,-1,010001010101110101000110101101100000111110000011100110000100111010010111100011011001100011001110010111100001101011100100011000000011100110111101001110101111011000010110001111110011110111001110100110000100100010111101110101111100010010
0,4,3.871704,7.011264,-1,-1,000010010111011001011000000001000101100001011100011101110111000111010111100111000110101111000001111110000100100100100101000100010010010101000111011110110011011011101111101110110111011100001101100101011011101010100011111000110011101111
0,5,10.61997,21.24213,-1,-1,110000110010110101101001111011001011000001001110010010000100000111100110010011000101100101010101011010110011001010101011000110000010011110001001001011001000001001101100111100011000100010111011011000101011101101101010001001110100110111
0,6,5.743074,18.57211,-1,-1,000111010100101101100101110000111011110010101011010011111111010101001010111101101000001011010111011010010110100100100101100001000011001110100011001110011000101010010101001001000011000100001111110101101010110110001011001010011111110000
0,7,0,5.72306,-1,-1,000001110110100000101110001101110110010011101100100101000010111100111111011101001001111100011010011011010000011000111010110100101011001011010100010110011111111100111101011000000110001001001100111010000010010110001101000111101011111011
0,8,5.763305,7.770733,-1,-1,101001010111100010111111000001011001010011101111001000101100010101001011010010011001010001000111101110010010000000101110001011010100000111010100011110000010011010101101000101011011101100101111101100000011101111101110011100100111000110
0,9,0.1554474,11.36707,-1,-1,100111000001011001111110111100101011101010001011111110000100010111100111111001110110010100001001010111010100100100011001110111101100010110111010111101011100100100000111000010011001101000101101111111010110010011111110001000001010000101
0,10,2.959108,16.41944,-1,-1,001011101011000101101111100001010100000011111000011110101010010111100000100110100101101000101011101011010001000001010101101000011100011110001111000110001010101001000101011010010111101011010101011011110010100000010101000000011001011110
0,11,0.04533028,3.14244,-1,-1,101101011010011001111101000100001111110110100001011000100100011010101100101011010111100111001000010000110110111010111110010010011000100011101011110001000011111100011100000111100100011101110000101001001010000000101111110111001111100110
1,0,0.6007282,9.16754,4,5,100010011111010001011000101001000101100001011100001101110111000111010110100111000100101111000000111111000100100100100101000101010010010101000111011111111001001001101100111100011000100010111011011000101011111001101010001001110100110111
1,1,7.806187,16.19084,5,6,110000110010110101101001111011000011000000001110010010000100000111110110010011000101100001010101011010110011001010101011000110000011001110100011001110011000101000110101001001000011000100001111110001100010010110101011001010011111110000
1,2,2.573378,10.40666,6,8,000111010111100010111011000001011001010011101111001000101100010101001011010010011000010001000111101110010010000000101110001011010100000111110100011100000010010010111101000101011011101100101111101000000011101111101110011110100111000110
1,3,9.753955,16.92382,8,10,101001000111100010111111000001000100000011111000011110101010011111100000101110101101101000101011101011010001000001010101101000111100011110001111000110001011101001000101011011010111101011010101011011110010100000010101000000011001011010
1,4,13.77309,23.33199,1,5,101101001101011100100100010101011101100111011010111111010111110111011100101001101110101010001101011010110011001010111010100100000010010110001001001011001010001011101100110100010000100010111011011000101011101101111010001000110100110111
