generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,01,4.488561,6.269607,-1,-1,110100110011000001000010101111011000001110110100010001011110101101110100001010100000101100001110000001011111011000011110010111010001110011010101000101100110010001011001111001011001111000011001001001011001010011100000000100011011001111
0,11,3.163505,10.7749,-1,-1,100101010111001011010010110011100110111010101010000110101010101001101000010011001001100001011011001011110011110111100010001000011001100000001000010011111010001000110000001110000000000000011011010011100110001001111011111100001010001100
0,21,0,3.182957,-1,-1,000001111000000000100001001000010100100100001111110101110000001001000101100011010010100001100000111010111010001111011100101110010010110100100110101010011011000110101110111110111100001111111111100111001111110010100100101010010001110001
0,31,0,0,-1,-1,111110010100100000110010101100101111110000011101010000011110000001000101011111010011001111111110100011100000011100010011000011001111000011101000101101010110101011100011100011010101110111010111000110101001110000000100110000011011110001
0,41,7.031393,18.42932,-1,-1,110010101100101111101010110101000101000110110100000101001100010001000001101110001001000000001110000111101000000011110101011010010000100110001010110110010100111011000000100101110111000100001010010110101000000101000000100111001001000000
0,51,3.397588,11.50896,-1,-1,000011111111001100100100101011011011011111100101101010010110111011000000111010100110010010101001101010000110011011000110001010110011100101000101101111111100100111001001111101100001000100110111101100111101110000010010010001010001111101
1,01,3.530908,26.23154,1,1,100101010111001011010010110011100110111010101010000110100110101001101000010011001001100001011011001011010011110111100010101000011001100000001000010011111010001000110000001110000000000001011011000111100110001001111011111100001010001100
1,11,4.990492,9.196323,4,4,110010101100101110101010110101000101000110110000001101001101010001000001101110001001000000001110000111101100000111110101001010010000100110001010010110010000111011100000100101110111010000001010010111101000001101000000100111011010000000
1,21,11.84665,17.02883,4,4,010010101100101101101010100101000101010110100110000101001100010001000011101110001001000000001110000111101000000011100101011010010000000110001010110110010100111011000000100101110111000100001010110110101000000101000000100110001001100000
1,31,1.366997,21.48162,4,4,110010101100101111101010110101001101000110110100000101001100010101100011100110001001000000011110000111101000110011110101011010010010110110001010110110000100111001000000101101110111000101001010010110101000000001000000100111011001000000
1,41,6.795568,9.300485,4,4,110010101100001111101010110101000101000100110100000101001100010001000001100110001001000000001110000111101100000111110101011010010000100110001010110110010100111111000100100101110111010100001010010110101001000101001000100111001001000000
1,51,9.150749,22.98138,4,4,110010101100101111101010110101000100000110110100000111001100010001000101101110111001000100101110000111111000000011110101011010000000100110001010110111010100111011000000100001111111010100001010000110101000000101000000100110001001000000
2,01,2.36904,35.55628,1,1,110010101100101010101010110101000100000110010000001101001101010001000001101110001001000001001110000111101100000111111101001010010000100110011010010110110000111011100000100101110111010000001110010111100000000101000000100111010110000000
2,11,1.483192,13.88794,2,1,010010101100101101101010100101000100011110100110100101001100010001000011101110001001110000000110000111100000000011100101010010010000000110101010110110010100111011000000100101100111000100001010110010101000001101000000100111011011000010
2,21,20.44258,23.14511,2,2,010010101000101101101000100101000101010110100110000101011100010001000011101010001001000000001111000111101000010011100101011010010000000110001010110110010100111011000000100101110111000100001010110010001000000100000000100110001001110000
2,31,9.05588,30.27385,2,2,010010101100101101101010100111010011010110100110000101001100010001000011111110001001000000001110000111101000000011100101111110010000000110001010110110010100111011000000100101110111000101001010110110101000000101000000100110001001100000
2,41,0.7739332,11.0081,2,2,000010101100101101101110000101000101010110101110000101001100010001000111101111001001000000001110000111101000010111100101011010010000000111001010110110100100111011000000100101110111000100001010110110101001000101000000100110001001100000
2,51,0.2660753,1.871983,2,2,010010001101101101100110110101000101010110100110000101001100010001000011101110001001000000001110000111101000010011100101011010010010000010001010110110010100011011000000100101110111001100101010110110101000010101000000100110001001000001
3,01,15.05179,17.65738,2,2,010010101100101101101000100101000101010110100111000101011100010001000011001010001001000010101111000111101001010011101101011010010000001110001000110110010100111011000001100100110111000100001010110010001100000100000000100111101001100000
3,11,11.19204,37.93882,2,2,010010101000101101101000100101100101010110100110000101011100000001000010101011001001000000000111000111101000010011100101011010010000000110001010110110010000111011000000100100100011000100001010110010101000000100000000100110001111110000
3,21,22.88969,47.5796,2,2,010010101000101101101000100101100101010110100110000101011000010001000011101010001001000000101110000011101000010011100101111010010100100110001010110110010100100011010000100101110110001000001010110010011000000100000001100110001001110000
3,31,7.239541,32.113,2,2,010010101000101101101000100101000101010110100010000111011100010001000011101010000001000000001111000111101000110011101101011010000000001110001010110110010100111011000000100101110111000100101010110010001001000100000000110111001011010000
3,41,14.73945,22.74048,2,2,010010101000001101101000100100000001000110100110000001001100010001000011101010001011000001001111000101101001010011100001111010010000000110001010110110010100111011000100100101110011000100001010111110001000000100010000100010001001110001
3,51,7.033584,22.61587,2,2,010010101010101001101000110101000101010110100110000101011100010001100110111010001001010000001111010111101010010111100101011010010001000110001110111110010100111011000000100101110111000100001010110010101000000100000000100110001001110010
4,01,2.019096,35.06394,0,1,011010101100101101101000100101000101010111100111000101011100010001000011011010001001000010110101000111101001010011101101011010010000000110001010110110110000111011000100110100100011000100001010110010101000000100000100101110001111110000
4,11,3.29343,6.528885,0,1,000010101100101101101000100001001101010110100111010100011100010001000011000010001101000011101111000111101000010011100101011010010000000110001010010110010000111011001000100100100011000100011010111010101000000100000000100110101100110000
4,21,0.3674907,10.19527,0,2,110010101100101101101001100001000101010110100111000101011100010000100011001010001001000110111111000101101000010111100101111010010100100110001010110110010100100011010000100101010110001000001010110010001000000101000001100110001001110000
4,31,8.212533,8.607787,0,2,010001111100101101011000100101000101010110100111000111011100010001000011101010001001000000101110000011101000010010100101111010010100100110001010110110010100100011010000100101110110101000100010110010011000000100000001100110001001010000
4,41,16.13413,34.95192,1,2,010010100000101101111000100101100111010110100111000101011100000001000010101010001001010000101110000011101010011001100101111010010100100110001010110110011100000011010000100101110110001000001010110010111000000100000001100110001001110000
4,51,11.17864,54.18047,2,2,010010001000111101110000100101100001010110100110000101011000010001000011101011001001000000101110000011101000010011100101111010010100100110001000010110010100100001110000100101110110001001001110110000011100000101000001100110001001110000
5,01,3.549356,76.69819,1,1,100010101110101101101000100001001101010111100111010100010100010111001111000010001101000011101111001111101000010011100101011010010000000110001010010010010000111011001000100100000011100100010010111010100000000100000000100110101100100000
5,11,3.82239,16.43383,4,4,010010000000101101111100100101100111010010100111000101010100000001000010101110001001010010101110001011100000011001100101111010110101100110001010110110111100000011010000100101110110001010001010111010111010000100000001100110001000110010
5,21,8.154949,24.25888,4,4,010010100000101101111000100101100111010110100111100101011101000011000010101010001001011000101110000011100010011001000101111010010100000110000010110110011100000011010000100101110110001001001010110010111010000100000001100110011000110000
5,31,0.8546768,11.48917,4,4,110010010000101101111000100101100111010110000110000101011100000001101010101010001001010000101110000011101010011001100001101010010100100110001010110111011100000011010000100101110110001000001010110100111100000100001001100110001001110000
5,41,5.692518,20.58756,4,4,010010100000101101011000100101101011010010100001000101010100000001000010101010001001010100101110000011111010011001100101111010010100010110001000110111011100000011010000100101010110001000001010110010111001000100000001100110001011110000
5,51,3.646245,16.64139,4,4,011010000000101101111000100101100111010110100111000101011100000001000000101010001001010000101110000011101010011001100101111000010100100110001010110110011100000011010000100101110110001000001010110010111000000100000001100110001001110000
6,01,3.972328,28.94807,0,0,110110001110101101111000100001001111010011100111010100110100010111001111000010001101000011101111001111101000010011100101011010010010000110001010010010010000111011001001100100000011100100010010111010100010000100000000100110101100100000
6,11,1.050219,12.68601,0,1,100010101110101101101001100001001101010011100111010101010100010111001111000010001001000011111111001111111001010011100101010010010000000110101010010010010000111011010000100101110110011010001010111010111011000100000001100110001000110010
