generation,microbe,max_distance,distance_travelled,parent1,parent2,chromosome
0,0,0.8809551,3.111337,-1,-1,"110000111011001010111010110111000100110000100101010010000100110011110001001100000010000011000010011010010100100011110000011011011001111001001000010011111101110111101100100100101110000000001100101000001100011110110111010010111000010010"
0,1,0.307447,2.040128,-1,-1,"111110000100110001101111111001001001101111101001010100000100011001001101000000010111001001110110101101111111100011001011100010110010111111101001001100001100001010100010010110001111000001000100101001011101011010011010100001010110011010"
0,2,11.60537,16.21051,-1,-1,"100111110110101110100111110000111010000001110111101001110011110101100000111100011000100111010101101001110100011001000000100101100011101101101001101011001110110010111011101111010111110000100001100000010100100000101100011000011101101001"
0,3,0.009727937,11.51728,-1,-1,"111110011111001001100110111010110011010001110111111111011100000001001001001001000101100001001100011111111110101001010101001000110111111100011111101101000101011100101011001000001100101101000001111001000001000100100000001011110110110011"
0,4,0.4046643,6.789746,-1,-1,"100010110011100010010110101010010111001011110011100100000110101010100101101011011010010011100000111011001011100001110011110011111110010010010000010010011100110010011110011111000100010000000011101010100111010111100101001000010110001101"
0,5,2.594853,3.009505,-1,-1,"101000011110100001010000010011110010011101100001000000110001000011010001000101100101110101111000010010010100000100001101001111101101000001011110001000000000011000000011100000101011000110000011010001111101011000110111010000000101000011"
1,0,2.656884,8.247479,2,5,"101000011100100001010000010011110011011101100001000100111001000011010001000101100101110101101000010010010100000101001101001111101101000001011110111000000000011000100010100100101011000110000011011001101101011000110110010101000101000011"
1,1,0.6824277,4.632657,2,5,"100101110110101110100111110001111010000101110111101001110111110101100000111100011000100111010101011010010100100100101101000111001101000001011110001000000000011010000011100000101011000110000011010001011100111000110111010000000111010011"
1,2,2.102186,11.45439,2,5,"100111110110101111100111110000111010000001010011101001110011110101100000111100011100100111010101101001110100111001110010100101100011101101101001101011001100110010111010101110010110000110000011010001111001011000110111010000000101000011"
1,3,2.064617,15.37151,2,1,"100111110110100110100111110000111010000001110111101001110011110101000000111100011000100111010101100000110100011001100000100101100011001101111001101111001100110010010011110110001110000001000100101001011101011010011010100001010110011010"
1,4,4.034404,10.48547,2,5,"100111111110101110100111110010110010011101100001000001110001000010010000000101100101110101111000010010010100000100001101001111111101000000011110001000000000011000000011100000101011000101000011010001111101011000110111010000000101000011"
1,5,1.650455,10.311,2,5,"000111110110101110100111110000111110000011110011100001110010110101010000111100011000101111010101101001110100011001000000100101100011101101101001101011000110111010111011101100001011000110000011010001111101011000110111010000000101010011"
2,0,11.2236,25.59129,3,4,"110110110110100110100111110000111010000001110111101101110011110101000000011100011000101111010100100000110100011001100010000101110100000000011111011000000000011001000011100000101011000100000011010001111101010100110111010000000001000010"
2,1,2.935091,22.94636,4,5,"100111111110101110100011110010110010011101100001000001110011000010010000000101100101111101111000010011010100000000001101100101100000001101101001101011000110111010111011101100001111000110001011010001111101011000110111010000000100010011"
2,2,2.876116,10.73761,4,0,"100111011110111110100111100011110010011101100001010001110001000010010000000101100101110101111010010000010100000100001101001111111100000000010110001000000000010000000011100000100011000101000011010001111101011000010010010101000101000011"
2,3,8.560057,12.24247,4,0,"100111111100101110100111110010110010011101100011000001110001000010010000000101100100110101111000010010010100000100000101001111111101001000011110001011000000000000000011100000101011000101000011010001111101011000110110010101000101000011"
2,4,2.443361,15.66502,4,2,"100111111110111110100111110010110010011101100001000001110000000010010100000101100101110101111000010010010100000100001101001110111101000000101001101011001100110010111010101110010110000110000011010001111001011000110111110000000101100011"
2,5,2.132112,7.669547,4,2,"100111111110101110100111110010110010011101100000000001110001000011010000000101100101111101111000010010010100000100000101101111111101000000011101101011001110110011111010101110010110000110010011010001111001011000110111010000000101000011"
3,0,0.4218037,10.63157,3,4,"100111111100101110100111110010110010011101100011000001110001000010010000000111100101110101111001000010010100000100001101011110111101000000101001100011001100110010111010101111010110000110000011010001110001011000110111110000000111100011"
3,1,4.059803,12.53772,3,0,"100111111100110110100111110010111010000001110111101111110011110101110000011100011000101011010100100001100100011101100000000101110100000100011111011000000000011001000011100000101011000100000111010001111101010100110111010000010001100011"
3,2,8.306135,12.2366,3,0,"101110111100101110100111110100110010011001100011000001110101000010110000000101101100110101111000010010010100000100000101001111111101001100011110001011000000000100000111000000101011000101000011011101111101010100110111011000000001000010"
3,3,1.466901,12.54516,3,0,"100111011100101110100110110111110010011101100011000001110001010101000000011100011000101111010100110000110100011001100010000101011110000000011111011000001000011000000011100000101011000100000011010001111101010100111111010000000001000010"
3,4,17.41487,27.94747,3,0,"100111101010101110100011110011110010011001100111000000110011000010010000000101100100110101111001010010010100000100000100001111111101001000011110001011000000000000000111100000101011000100000011010001111101010100110111010000100001000010"
3,5,1.798602,23.52284,3,0,"100111111100101111100111110000110010011001100011000001110001000010010000000111100100110101111000010010010100000100000101001111111101000000011110011000000000011001000011100000101011000100000011010001111101010100110111010000010101000010"
4,0,4.420392,44.51444,1,3,"001111110100110110100111110010111010000001110110000101110001011101000000011100011000111111010100110000110100011001100010000101010110000000011111011000000000011000000011100000101001000100000011010001111101010100111111010000000001000010"
4,1,17.69618,24.05281,4,5,"100011101010101110100011110011110010001001100110001000110001000010010000001001100100110101111001010010010111000100000100001001111101011001011110011011000000000000000011100000101011000100000011010001111101010100100111001000010101000010"
4,2,0.8908067,38.86357,4,0,"000111101010101010100011110011110011011001100111000000010011000010010100000001100101110101111001011010000100000100000100001110111101000000101001100011001000110010101010101111010100100110000111010001110001011000110111110000000111100011"
